       w1         w2         w3   Data Height 
    37.044      1.472      3.929       183379 
    36.950      4.915      3.937       201266 
    37.023      0.121      3.935      2294200 
    37.065      8.687      3.930       344460 
    37.044      0.327      3.933      1475356 
    37.018      2.587      3.938       214159 
    37.348      8.301      1.706      1126108 
    37.211      3.933      1.707       469055 
    37.352      1.702      1.705      6653316 
    37.308      0.810      1.711      1152381 
    37.347      0.535      1.704      1826171 
    37.283      8.560      1.703       171848 
    37.340      8.906      1.712       295114 
    37.198      1.914      1.723       359085 
    37.341      0.350      1.704       919665 
    37.677      8.304      0.363      1223296 
    37.685      3.933      0.364      1005009 
    37.678      1.699      0.364      2887434 
    37.732      0.831      0.360      7581268 
    37.677      0.532      0.363      7243455 
    37.665      8.560      0.364       541991 
    37.685      3.250      0.363      1102508 
    37.699      8.174      0.365       330816 
    37.680      1.881      0.364      1647548 
    37.681      3.027      0.361       534082 
    37.671      8.857      0.362       526380 
    37.681      6.927      0.364      1244144 
    37.701      7.118      0.361      1596179 
    38.010      0.325      0.326    150610016 
    51.666      8.303      0.305       771374 
    51.686      8.303      0.831      1575128 
    51.657      3.933      0.310       701654 
    51.643      3.932      0.834       925932 
    51.638      1.699      0.306       751532 
    51.671      0.833      0.307      7775318 
    51.597      8.565      0.280       152336 
    51.747      8.569      0.827       351904 
    51.719      7.127      0.304       240878 
    51.609      7.125      0.829       297307 
    51.656      0.129      0.310      1261352 
    51.666      0.134      0.831      1425281 
    51.657      0.321      0.306     12462600 
    51.670      0.318      0.833     10633155 
    51.847      0.812      0.815     33249936 
    43.349      8.306      0.539       922199 
    43.338      3.932      0.539      2839234 
    43.341      1.703      0.538      4905807 
    43.318      0.373      0.539      7898446 
    43.316      0.807      0.537      3255871 
    43.327      0.536      0.539    130911584 
    43.290      8.579      0.540      1638185 
    43.356      3.020      0.538       389092 
    43.305      8.204      0.538       445351 
    43.214      2.817      0.549       323277 
    43.337      3.223      0.538      1096202 
    43.330      3.598      0.539       994850 
    43.341      8.901      0.538       610240 
    43.332      1.903      0.538       714606 
