       w1         w2         w3   Data Height 
   115.282      2.291      8.279      1508324 
   115.279      2.904      8.279      2218772 
   115.285      6.789      8.280       826782 
   115.272      8.278      8.278     21857832 
   115.267      4.971      8.281      1385642 
   115.277      2.543      8.280      2418745 
   115.283      8.686      8.280      7509956 
   115.297      8.925      8.283       709431 
   115.239     10.072      8.283       265430 
   115.271      4.752      8.280      3284923 
   115.278      1.618      8.282       781042 
   115.278      1.734      8.281       699855 
   115.261     10.666      8.280       675780 
   115.477      1.241      8.689       654376 
   115.459      0.202      8.688      1611353 
   115.465      4.469      8.687      1796139 
   115.471      2.906      8.687      1712066 
   115.497      6.783      8.687       517866 
   115.472      8.280      8.687     10832013 
   115.475      8.688      8.687     49316784 
   115.476      5.578      8.687      2307257 
   115.481      3.191      8.688      1829675 
   115.460      7.170      8.687      1500903 
   115.430      5.228      8.687       354892 
   115.446      0.845      8.689       441819 
   115.464      8.926      8.687      2978765 
   115.480      2.329      8.687      1494764 
   115.475      4.758      8.688      1250272 
   115.470      2.527      8.687      5419479 
   115.502      0.485      8.687       786759 
   122.896      1.022      8.419      1704129 
   122.889      9.208      8.421       822810 
   122.894      7.575      8.424      3339212 
   122.912      1.793      8.426      1402819 
   122.908      4.434      8.426       831816 
   122.894      0.210      8.420      1342009 
   122.896      0.478      8.423      1299400 
   122.895      1.153      8.423      2469003 
   122.894      5.577      8.425     10159771 
   122.899      2.520      8.425      1446659 
   122.892      3.192      8.425      2584150 
   122.916      7.164      8.426       821103 
   122.877      5.246      8.420      2605209 
   122.901      1.400      8.424      5972544 
   122.899      9.243      8.424       847457 
   125.624      0.362      9.272       343249 
   125.673      4.069      9.265       399198 
   125.643      0.186      9.264       425494 
   125.617      8.414      9.266       792054 
   125.618      5.265      9.266     11373236 
   125.619      1.400      9.268      3106752 
   125.618      9.264      9.266     41627048 
   125.624      4.870      9.267      1748196 
   125.616      2.181      9.266      4979004 
   125.619      0.551      9.268      1546063 
   125.615      0.853      9.267      3292381 
   125.609      8.696      9.268       725242 
   125.619      0.692      9.266      1914982 
   125.611      8.539      9.267      2795156 
   125.616      3.729      9.267       394224 
   125.595      7.596      9.267       286587 
   125.615      5.457      9.267      1450766 
   125.627      6.522      9.268       779530 
   125.621      8.911      9.269       682588 
   125.616      7.150      9.266      1059895 
   121.156      3.567      8.698       609392 
   121.161      4.554      8.696       590664 
   121.118      8.561      8.697      4604934 
   121.142      1.156      8.702       322496 
   121.114      1.495      8.702       863090 
   121.126      4.111      8.700      1281583 
   121.108      9.180      8.699      1079830 
   121.141      1.303      8.697       557581 
