       w1         w2         w3         w4   Data Height 
    20.137     15.151      2.161      0.528      -362018 
    20.054     23.708      0.848      0.527       839312 
    23.683     20.939      4.115      0.854       267810 
    23.749     14.190      0.305      0.851       154382 
    23.674     19.052      4.815      0.853       459498 
    23.705     15.103      2.175      0.854      -320919 
    23.686     20.074      0.518      0.852       873568 
    13.947     13.944      5.342      5.348      2849614 
    13.947     23.206      3.671      5.352       317756 
    20.883     20.846      4.450      4.456      5480094 
    20.889     21.657      1.069      4.456       532419 
    21.544     15.610      2.237      1.076      -225318 
    21.648     20.815      4.453      1.073       602573 
    21.645     21.630      1.065      1.074     31210016 
    23.605     23.624      4.342      4.345      1196803 
    34.000     20.884      2.620      4.527       512990 
    18.675     18.656      1.558      1.568      2009176 
    18.845     27.793      1.619      1.564      -120336 
    18.561     17.835      0.674      1.566      -435818 
    34.000     18.272      0.888      0.795      -308253 
    34.000     18.771      1.545      0.807       339933 
    34.000     34.000      0.800      0.809     20937416 
    34.000     27.975      0.802      0.810     -1505422 
    34.000     27.956      1.615      0.810      -792862 
    34.000     17.823      0.672      0.807      -694610 
    17.818     21.691      1.377      0.684       538087 
    17.808     13.917      5.337      0.685       145566 
    17.825     18.633      1.564      0.683      -478703 
    17.817     34.000      0.801      0.684      -751315 
    17.762     27.917      0.820      0.684       221763 
    17.866     27.888      1.615      0.683       147049 
    17.822     17.823      0.676      0.684     19442814 
    19.294     28.948      3.715      3.992       534097 
    32.713     30.438      5.250      5.449       235694 
    32.681     32.656      5.442      5.448      1513199 
    27.673     27.696      6.470      6.521            0 
    13.947     21.803      0.430      6.589       -92728 
    13.947     30.512      5.234      6.602        77631 
    13.947     21.683      1.376      6.595      -378422 
    13.947     17.792      0.674      6.594      -233651 
    13.947     27.805      6.470      6.596            0 
    13.947     14.224     -0.410      6.593     11193953 
    16.700     16.732      5.213      5.216      2299533 
    31.644     19.859      3.939      4.899      -139233 
    31.471     31.480      4.900      4.905      2047803 
    31.385     24.484      0.650      4.898       121306 
    31.440     24.392      1.824      4.893       131049 
    31.490     23.280      0.161      4.906      -366551 
    24.413     24.578      1.838      0.655       218383 
    24.546     24.648      1.854      1.851      1054332 
    26.882     23.731      0.848      0.506       379132 
    26.866     21.620      0.194      0.504       168495 
    26.850     17.485      0.274      0.506       203855 
    26.849     14.233      0.317      0.506       220349 
    26.810     24.601      0.643      0.509      -122058 
    27.004     24.616      1.835      0.504      -145695 
    26.844     26.837      0.501      0.506      6653188 
    26.839     23.363      0.167      0.507       471439 
    26.867     26.400      1.619      0.505       214869 
    23.409     15.976      1.571      0.170       -74117 
    23.338     17.501      0.276      0.165       328939 
    23.282     19.828      3.952      0.164       265770 
    23.419     19.802      0.519      0.166       146619 
    23.314     31.497      4.897      0.165      -400000 
    23.410     24.624      0.656      0.167       -98785 
    23.149     24.542      1.822      0.175      -109621 
    23.352     26.821      0.504      0.166       416039 
    23.322     23.327      0.160      0.165      9399814 
    23.415     26.331      1.643      0.164       230027 
    17.246     21.596      4.140      4.789       529167 
    31.222     31.197      3.844      3.850      3935975 
    31.232     21.681      1.235      3.849       648914 
    21.768     17.373      4.811      1.246       482879 
    21.670     31.209      3.845      1.245       970464 
    21.681     30.491      3.663      1.246      -346911 
    21.681     21.678      1.236      1.245     29229042 
    21.722     27.579      0.436      4.153       149965 
    21.710     21.577      0.224      4.152       350871 
    21.636     21.635      4.150      4.155      2252176 
    21.650     32.502      1.726      4.155       152870 
    21.672     32.366      1.936      4.155       282186 
    21.635     17.069      4.787      4.153       391291 
    21.390     25.553      0.726      1.373      -212404 
    21.399     23.714      0.732      1.388      -182351 
    25.546     19.345      1.365      0.731       493522 
    25.525     33.323      1.720      0.733       138823 
    25.549     28.959      1.598      0.733       328695 
    25.557     21.223      2.913      0.733      -201073 
    25.618     34.000      4.250      0.733      -185402 
    24.992     21.753      1.395      0.767      -122846 
    25.545     25.537      0.726      0.732     29738926 
    25.650     23.733      0.725      0.729      1939189 
    25.544     26.798      1.307      0.731       413637 
    23.673     19.331      1.360      0.726       175897 
    23.652     28.939      1.591      0.726       218128 
    23.624     21.169      2.888      0.730      -194549 
    23.658     34.000      4.252      0.727      -678522 
    23.658     21.348      1.369      0.728      -380917 
    23.660     23.665      0.724      0.727     37437104 
    23.687     26.845      1.309      0.726       456872 
    21.222     28.958      1.623      2.921      -440344 
    24.850     32.918      1.719      1.389       342433 
    24.838     28.948      1.605      1.391      1564431 
    24.810     24.779      1.371      1.395      4713082 
    13.947     13.909      4.219      4.224     12853314 
    13.947     21.563      1.491      4.223      -481225 
    13.947     24.895      0.867      4.220       188198 
    13.947     26.990      1.553      4.222       157124 
    24.828     13.919      4.231      0.863       297744 
    24.947     21.474      1.504      0.865      -990222 
    24.925     27.046      1.547      0.861       917888 
    23.656     21.588      1.489      0.810      -603111 
    26.909     13.932      4.230      1.558       176151 
    26.945     24.917      0.867      1.562       468829 
    27.034     23.659      0.811      1.564       462052 
    26.993     27.033      1.554      1.557      8890580 
    26.999     21.616      1.532      1.557     -2235267 
    18.931     32.077      4.175      1.259      -984241 
    18.929     18.893      1.255      1.259     42116948 
    29.606     16.652      4.464      7.016      -224797 
    29.701     18.140      2.940      7.018       458460 
    14.592     29.707      0.016      6.716      2988216 
    21.087     21.090      3.928      3.933     11067193 
    21.081     32.766      1.955      3.934       231896 
    21.090     21.022      0.834      3.932       831546 
    21.068     21.052      3.927      0.824       531098 
    21.099     32.675      1.952      0.823       774980 
    13.947     23.678      0.793      4.224       611046 
    23.648     13.915      4.232      0.813       907169 
